tanggal,PM2.5,PM10,SO2,NO2,CO,O3
2013-03-01,8.263157894736842,14.31578947368421,18.473684210526315,12.894736842105264,368.42105263157896,75.94736842105263
2013-03-02,33.47826086956522,42.391304347826086,39.91304347826087,50.869565217391305,765.1739130434783,34.08695652173913
2013-03-03,59.34782608695652,82.0,39.52173913043478,48.04347826086956,973.9130434782609,26.782608695652176
2013-03-04,19.105263157894736,36.68421052631579,26.31578947368421,27.31578947368421,426.2631578947368,62.05263157894737
2013-03-05,106.14285714285714,202.42857142857142,60.0,105.85714285714286,1942.4285714285713,88.0
2013-03-06,167.625,195.375,65.79166666666667,86.58333333333333,2095.625,80.375
2013-03-07,192.77272727272728,241.8181818181818,64.18181818181819,114.68181818181819,2395.1363636363635,66.0909090909091
2013-03-08,195.82608695652175,233.95652173913044,56.52173913043478,89.21739130434783,2303.913043478261,86.56521739130434
2013-03-09,49.76190476190476,152.04761904761904,30.095238095238095,33.666666666666664,785.7142857142857,101.85714285714286
2013-03-10,43.625,68.91666666666667,32.25,46.583333333333336,762.5,90.54166666666667
2013-03-11,119.54166666666667,141.875,73.0,72.375,1295.6666666666667,70.95833333333333
2013-03-12,106.54166666666667,104.66666666666667,29.833333333333332,81.75,1208.1666666666667,41.875
2013-03-13,11.272727272727273,17.40909090909091,14.954545454545455,19.863636363636363,322.72727272727275,85.5
2013-03-14,108.0,120.79166666666667,32.458333333333336,78.20833333333333,1470.5833333333333,79.25
2013-03-15,223.0,227.43478260869566,51.26086956521739,102.95652173913044,2021.4782608695652,45.47826086956522
2013-03-16,236.91304347826087,223.8695652173913,48.82608695652174,82.56521739130434,2038.9130434782608,76.65217391304348
2013-03-17,283.0869565217391,290.9130434782609,67.04347826086956,106.6086956521739,2521.4347826086955,99.56521739130434
2013-03-18,95.41666666666667,115.875,10.25,32.708333333333336,799.9166666666666,87.79166666666667
2013-03-19,29.458333333333332,14.958333333333334,4.375,29.208333333333332,479.1666666666667,40.0
2013-03-20,35.75,32.958333333333336,6.625,33.083333333333336,591.6666666666666,54.625
